11,3214
89,1624
9,240
11,1738
22,12936
81,1177
11,5486
27,1589
16,1466
14,1077
16,268057
75,7094
11,1109
12,253
140,238
21,217
175,871
20,184
11,348
17,8002
160,556
14,266
11,3774
11,442
41,470
22,4414
59,7982
10,428
24,3277
679,189
9,2139
153,3253
21,468
211,160
39,334
11,200
66,2274
11,6163
16,4904
16,926
9,743
3,288
461,6208
20,1735
479,193
4,2772
203,3116
124,9381
21,324
36,5747
152,1268
12,12179
182,211
37,3330
34,687
16,755
13,1556
29,1902
7,10851
135,30783
229,9447
13,241
10,245
15,238
8,951
38,257
13,329
103,692
3,255
13,631
12,4689
40,1335
67,173
37,377
236,4676
127,207
13,1212
38,377
25,534
7,429
27,15295
49,1827
81,5082
10,2529
23,679
29,265
25,22742
15,11356
344,1442
16,2758
15,783
10,4924
8,219
14,451
39,4035
21,2771
115,476
9,752
24,4083
30,285
12,1717
89,3669
3,842
64,3758
147,542
10,238
49,858
51,500
15,204
76,1879
49,238
601,5278
23,1446
3,465
18,742
47,465
10,1760
21,435
61,2277
139,3525
12,450
24,3287
13,8387
8,2367
12,286
30,51690
26,2434
103,6101
8,346
33,2220
20,6848
14,7413
38,7545
53,2612
206,5257
20,2522
8,583
67,8598
13,7126
5,683
17,1934
907,10936
2,430
48,9644
133,16583
3,221
46,1123
23,2282
66,604
57,268
18,991
177,4521
51,5510
4,5502
28,238
75,2392
13,627
33,48248
31,1004
5,968
28,252
6,6611
13,424
6,713
59,202
2,217
53,7148
38,4147
13,269
216,559
47,6628
110,479
104,147
4,1169
11,644
4,439
129,7439
135,858
39,3378
15,275
129,5074
65,1147
167,7716
90,8551
113,1252
16,3651
13,11375
12,5916
39,7344
21,7411
2,2142
65,283
5,565
97,265
6,966
39,459
17,4203
6,246
31,3671
97,449
55,846
235,453
6,1148
10,5887
149,3891
6,643
9,295
64,174
22,741
9,1299
4,383
123,781
11,336
221,13398
3,5373
40,365
18,999
40,7567
40,2308
14,1743
31,1
631,2944
25,290
6,1194
17,298
131,10779
44,1751
227,887
8,432
112,1562
45,9294
122,3725
7,178
6,807
198,8548
43,6830
57,362
50,2204
48,445
56,2728
39,479
22,2154
9,2445
34,1746
5,661
11,353
19,2512
185,74556
6,2905
159,1759
64,1160
8,477
346,19954
7,1171
101,1261
182,837
30,824
138,2689
7,29630
11,148
132,5548
8,231
9,279
11,3214
89,1624
9,240
11,1738
22,12936
81,1177
11,5486
27,1589
16,1466
14,1077
16,268057
75,7094
11,1109
12,253
140,238
21,217
175,871
20,184
11,348
17,8002
160,556
14,266
11,3774
11,442
41,470
22,4414
59,7982
10,428
24,3277
679,189
9,2139
153,3253
21,468
211,160
39,334
11,200
